unique_id,url_length,n_redirection,phishing
1,37,0,0
2,77,1,1
3,126,1,1
4,18,1,0
5,55,1,0
6,32,1,1
7,19,1,0
8,81,1,1
9,42,0,0
10,104,0,0
11,56,0,0
12,43,0,0
13,83,0,0
14,31,1,1
15,25,0,0
16,51,1,1
17,31,0,0
18,50,1,1
19,34,0,1
20,27,1,0
21,63,1,0
22,66,0,0
23,40,0,1
24,48,1,0
25,126,1,1
26,41,0,1
27,36,0,0
28,72,1,0
29,68,1,1
30,163,0,1
31,26,0,0
32,64,1,1
33,36,0,1
34,61,0,1
35,66,0,0
36,35,0,0
37,113,0,1
38,41,1,0
39,23,0,0
40,31,0,0
41,84,0,1
42,29,0,1
43,98,2,1
44,15,0,0
45,65,1,0
46,131,1,1
47,50,0,0
48,51,1,1
49,45,0,0
50,159,1,1
51,44,0,1
52,103,0,1
53,46,0,1
54,45,0,0
55,51,4,1
56,38,1,1
57,81,1,1
58,112,1,0
59,39,1,1
60,99,0,1
61,45,1,0
62,60,0,1
63,74,1,0
64,61,1,0
65,40,0,1
66,52,0,1
67,88,1,1
68,74,1,0
69,46,2,0
70,54,1,0
71,54,1,1
72,38,0,0
73,67,0,0
74,62,0,1
75,59,0,1
76,57,0,1
77,32,1,0
78,46,0,1
79,37,0,0
80,36,1,1
81,52,1,1
82,32,1,1
83,34,0,0
84,27,0,0
85,92,0,1
86,102,1,0
87,32,0,0
88,29,0,0
89,119,0,1
90,59,1,0
91,54,1,0
92,151,0,1
93,84,1,0
94,55,2,1
95,18,0,0
96,39,0,0
97,28,0,0
98,32,1,0
99,16,0,0
100,23,0,1
101,29,1,0
102,29,0,1
103,41,0,0
104,22,1,1
105,52,0,1
106,38,0,1
107,30,1,0
108,76,1,1
109,430,1,1
110,37,1,0
111,73,1,0
112,56,0,1
113,70,0,0
114,70,0,1
115,52,2,0
116,31,0,0
117,90,1,1
118,45,1,0
119,55,0,0
120,65,0,1
121,41,0,1
122,71,0,1
123,83,0,1
124,73,0,1
125,44,1,1
126,114,0,1
127,127,1,1
128,99,1,1
129,56,0,1
130,51,2,0
131,51,1,1
132,40,1,0
133,33,1,1
134,88,0,0
135,122,0,0
136,53,1,0
137,46,1,1
138,36,1,1
